Record ID,Date,Country,City,Temperature (°C),Humidity (%),Precipitation (mm),Air Quality Index (AQI),Extreme Weather Events,Climate Classification,Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
ind_1,1/1/2024,India,Delhi,3.5,99,146.3,276,None,Koeppen-C,Arid,Desert,8.4,1.3,N,Winter,1689196,33548550.03,6
ind_2,1/2/2024,India,Delhi,17,86,132.1,485,None,Koeppen-A,Arid,Wetland,21.3,16.6,SE,Winter,4851835,26218477.88,10
ind_3,1/3/2024,India,Delhi,32.1,67,189.5,472,None,Koeppen-A,Arid,Forest,35.5,36.8,SE,Winter,5403689,76669267.26,8
ind_4,1/4/2024,India,Delhi,2.6,91,31.8,79,None,Koeppen-C,Arid,Tundra,7.2,35.3,N,Winter,7538577,17954617.06,9
ind_5,1/5/2024,India,Delhi,-4.3,71,39.7,179,None,Koeppen-C,Arid,Wetland,-0.7,16.2,SE,Winter,382117,69119642.26,1
ind_6,1/6/2024,India,Delhi,44.2,51,131.1,253,None,Koeppen-D,Arid,Tundra,46.8,3.2,NE,Winter,4361915,66266436.93,2
ind_7,1/7/2024,India,Delhi,15.3,83,27.2,154,None,Koeppen-C,Arid,Grassland,19.5,33.6,SW,Winter,9692056,68287073.24,6
ind_8,1/8/2024,India,Delhi,1,40,104.6,88,None,Koeppen-C,Arid,Wetland,3,13.6,E,Winter,8812343,46229961.78,8
ind_9,1/9/2024,India,Delhi,8.4,78,11.9,283,None,Koeppen-C,Arid,Forest,12.3,2,SE,Winter,934513,34557360.66,4
ind_10,1/10/2024,India,Delhi,26.8,25,29.6,378,None,Koeppen-A,Arid,Wetland,28.1,39.7,N,Winter,9343686,34764608.59,7
ind_11,1/11/2024,India,Delhi,26.3,33,133.4,147,None,Koeppen-C,Arid,Forest,27.9,6,SW,Winter,4968561,27891185.04,3
ind_12,1/12/2024,India,Delhi,33.4,38,32.4,192,None,Koeppen-B,Arid,Grassland,35.3,27.2,NW,Winter,4663132,90455597.68,8
ind_13,1/13/2024,India,Delhi,11.8,61,171.8,224,None,Koeppen-D,Arid,Wetland,14.9,37.2,SW,Winter,2928720,35509486.84,1
ind_14,1/14/2024,India,Delhi,9.5,89,189.9,453,Flood,Koeppen-A,Arid,Tundra,13.9,14.5,SE,Winter,5560537,38536691,10
ind_15,1/15/2024,India,Delhi,43.5,18,37.6,82,None,Koeppen-C,Arid,Wetland,44.4,39.8,W,Winter,3424543,24401999.53,9
ind_16,1/16/2024,India,Delhi,42.2,10,53.5,202,Flood,Koeppen-D,Arid,Tundra,42.7,35,SE,Winter,9426280,86077757.25,2
ind_17,1/17/2024,India,Delhi,22,28,24.5,417,None,Koeppen-C,Arid,Forest,23.4,9.8,W,Winter,5240113,60072680.82,8
ind_18,1/18/2024,India,Delhi,38,36,105.1,164,None,Koeppen-B,Arid,Desert,39.8,12.1,S,Winter,5821331,51341786.29,1
ind_19,1/19/2024,India,Delhi,44.4,70,176.6,97,None,Koeppen-D,Arid,Forest,47.9,9.6,NE,Winter,5496988,48682135.3,6
ind_20,1/20/2024,India,Delhi,30,16,124.5,414,Heatwave,Koeppen-D,Arid,Wetland,30.8,32.3,E,Winter,3513788,6616834.92,2
ind_21,1/21/2024,India,Delhi,11,72,74.6,190,None,Koeppen-B,Arid,Desert,14.6,36.5,NW,Winter,2528131,72531213.7,7
ind_22,1/22/2024,India,Delhi,34.6,53,189.4,315,None,Koeppen-C,Arid,Tundra,37.2,13.3,SE,Winter,6053460,46040298.01,1
